id	label	type
trade 2988503	'trade 2988503'@en	transaction
Maria (18183)	'Maria (18183)'@en	person
Reagan (18206)	'Reagan (18206)'@en	person
REP04	'REP04'@en	asset
2004-06-01T15:29:21.130	'2004-06-01T15:29:21.130'@en	literal
0.51	'0.51'@en	literal
5	'5'@en	literal
trade 2988609	'trade 2988609'@en	transaction
Sawyer (18209)	'Sawyer (18209)'@en	person
Damian (18185)	'Damian (18185)'@en	person
2004-06-01T17:17:25.603	'2004-06-01T17:17:25.603'@en	literal
0.55	'0.55'@en	literal
7	'7'@en	literal
trade 2988683	'trade 2988683'@en	transaction
Jada (6268)	'Jada (6268)'@en	person
Kendra (6314)	'Kendra (6314)'@en	person
DEM04	'DEM04'@en	asset
2004-06-01T17:19:23.960	'2004-06-01T17:19:23.960'@en	literal
0.445	'0.445'@en	literal
2	'2'@en	literal
trade 2989169	'trade 2989169'@en	transaction
Armani (1888)	'Armani (1888)'@en	person
Carter (4136)	'Carter (4136)'@en	person
2004-06-02T08:09:48.577	'2004-06-02T08:09:48.577'@en	literal
0.45	'0.45'@en	literal
1	'1'@en	literal
trade 2989763	'trade 2989763'@en	transaction
Ryder (18178)	'Ryder (18178)'@en	person
2004-06-02T11:10:15.157	'2004-06-02T11:10:15.157'@en	literal
trade 2989870	'trade 2989870'@en	transaction
2004-06-02T14:06:17.833	'2004-06-02T14:06:17.833'@en	literal
trade 2990229	'trade 2990229'@en	transaction
Mila (1535)	'Mila (1535)'@en	person
2004-06-03T08:22:31.053	'2004-06-03T08:22:31.053'@en	literal
0.545	'0.545'@en	literal
8	'8'@en	literal
trade 2991689	'trade 2991689'@en	transaction
Zoe (16742)	'Zoe (16742)'@en	person
Sophia (1277)	'Sophia (1277)'@en	person
2004-06-08T12:21:52.973	'2004-06-08T12:21:52.973'@en	literal
0.453	'0.453'@en	literal
trade 2992248	'trade 2992248'@en	transaction
James (1278)	'James (1278)'@en	person
Lincoln (16628)	'Lincoln (16628)'@en	person
2004-06-10T10:18:50.177	'2004-06-10T10:18:50.177'@en	literal
trade 2992481	'trade 2992481'@en	transaction
Rowen (6188)	'Rowen (6188)'@en	person
Arya (18201)	'Arya (18201)'@en	person
2004-06-10T18:23:39.737	'2004-06-10T18:23:39.737'@en	literal
0.451	'0.451'@en	literal
trade 2992488	'trade 2992488'@en	transaction
2004-06-10T18:23:57.050	'2004-06-10T18:23:57.050'@en	literal
0.562	'0.562'@en	literal
trade 2992695	'trade 2992695'@en	transaction
Adelina (6056)	'Adelina (6056)'@en	person
2004-06-11T11:50:09.127	'2004-06-11T11:50:09.127'@en	literal
0.566	'0.566'@en	literal
trade 2992708	'trade 2992708'@en	transaction
Maximilian (207)	'Maximilian (207)'@en	person
Lorelai (5366)	'Lorelai (5366)'@en	person
2004-06-11T11:51:03.850	'2004-06-11T11:51:03.850'@en	literal
0.53	'0.53'@en	literal
15	'15'@en	literal
trade 2992867	'trade 2992867'@en	transaction
Zaire (5180)	'Zaire (5180)'@en	person
2004-06-11T14:36:29.990	'2004-06-11T14:36:29.990'@en	literal
0.495	'0.495'@en	literal
trade 2992888	'trade 2992888'@en	transaction
Brayden (18191)	'Brayden (18191)'@en	person
2004-06-11T15:04:02.323	'2004-06-11T15:04:02.323'@en	literal
0.518	'0.518'@en	literal
trade 2993061	'trade 2993061'@en	transaction
2004-06-12T13:20:54.170	'2004-06-12T13:20:54.170'@en	literal
0.535	'0.535'@en	literal
3	'3'@en	literal
trade 2993404	'trade 2993404'@en	transaction
Lyla (18214)	'Lyla (18214)'@en	person
Ari (1933)	'Ari (1933)'@en	person
2004-06-14T13:20:44.890	'2004-06-14T13:20:44.890'@en	literal
0.485	'0.485'@en	literal
50	'50'@en	literal
trade 2993760	'trade 2993760'@en	transaction
Evan (18142)	'Evan (18142)'@en	person
Owen (15547)	'Owen (15547)'@en	person
2004-06-15T11:22:31.477	'2004-06-15T11:22:31.477'@en	literal
trade 2994046	'trade 2994046'@en	transaction
Bennett (18106)	'Bennett (18106)'@en	person
Wyatt (16359)	'Wyatt (16359)'@en	person
2004-06-16T10:53:02.600	'2004-06-16T10:53:02.600'@en	literal
0.532	'0.532'@en	literal
trade 2994118	'trade 2994118'@en	transaction
Nathan (17252)	'Nathan (17252)'@en	person
2004-06-16T14:08:22.077	'2004-06-16T14:08:22.077'@en	literal
0.46	'0.46'@en	literal
