id	label	type
trade 2994131	'trade 2994131'@en	transaction
Harrison (18205)	'Harrison (18205)'@en	person
2004-06-16T16:10:23.500	'2004-06-16T16:10:23.500'@en	literal
0.554	'0.554'@en	literal
trade 2995349	'trade 2995349'@en	transaction
Nathaniel (18250)	'Nathaniel (18250)'@en	person
Arianna (18227)	'Arianna (18227)'@en	person
2004-06-20T08:16:42.083	'2004-06-20T08:16:42.083'@en	literal
0.455	'0.455'@en	literal
10	'10'@en	literal
trade 2996268	'trade 2996268'@en	transaction
Legend (18259)	'Legend (18259)'@en	person
Diego (18248)	'Diego (18248)'@en	person
2004-06-22T18:40:06.253	'2004-06-22T18:40:06.253'@en	literal
0.457	'0.457'@en	literal
200	'200'@en	literal
trade 2997918	'trade 2997918'@en	transaction
Gael (18198)	'Gael (18198)'@en	person
2004-06-26T07:27:51.933	'2004-06-26T07:27:51.933'@en	literal
trade 2997939	'trade 2997939'@en	transaction
2004-06-26T07:29:11.660	'2004-06-26T07:29:11.660'@en	literal
trade 2997945	'trade 2997945'@en	transaction
2004-06-26T07:29:28.130	'2004-06-26T07:29:28.130'@en	literal
trade 2998802	'trade 2998802'@en	transaction
Ronald (7276)	'Ronald (7276)'@en	person
Landon (17389)	'Landon (17389)'@en	person
2004-06-28T12:54:19.790	'2004-06-28T12:54:19.790'@en	literal
trade 3001073	'trade 3001073'@en	transaction
Kingston (18213)	'Kingston (18213)'@en	person
2004-07-01T12:56:44.087	'2004-07-01T12:56:44.087'@en	literal
0.469	'0.469'@en	literal
trade 3002815	'trade 3002815'@en	transaction
Derrick (6422)	'Derrick (6422)'@en	person
2004-07-02T13:45:39.817	'2004-07-02T13:45:39.817'@en	literal
0.461	'0.461'@en	literal
12	'12'@en	literal
trade 3003142	'trade 3003142'@en	transaction
Jenna (6280)	'Jenna (6280)'@en	person
2004-07-02T15:01:12.410	'2004-07-02T15:01:12.410'@en	literal
0.44	'0.44'@en	literal
trade 3003936	'trade 3003936'@en	transaction
2004-07-03T02:44:10.703	'2004-07-03T02:44:10.703'@en	literal
0.449	'0.449'@en	literal
trade 3008097	'trade 3008097'@en	transaction
Nicholas (17599)	'Nicholas (17599)'@en	person
2004-07-06T09:34:52.563	'2004-07-06T09:34:52.563'@en	literal
0.521	'0.521'@en	literal
9	'9'@en	literal
trade 3008308	'trade 3008308'@en	transaction
Mary (18245)	'Mary (18245)'@en	person
2004-07-06T12:01:10.390	'2004-07-06T12:01:10.390'@en	literal
4	'4'@en	literal
trade 3014180	'trade 3014180'@en	transaction
Giovanni (18218)	'Giovanni (18218)'@en	person
2004-07-09T07:44:23.920	'2004-07-09T07:44:23.920'@en	literal
0.505	'0.505'@en	literal
trade 3016408	'trade 3016408'@en	transaction
Reese (18304)	'Reese (18304)'@en	person
2004-07-10T17:23:44.217	'2004-07-10T17:23:44.217'@en	literal
0.504	'0.504'@en	literal
trade 3016465	'trade 3016465'@en	transaction
2004-07-10T17:24:31.487	'2004-07-10T17:24:31.487'@en	literal
17	'17'@en	literal
trade 3016644	'trade 3016644'@en	transaction
Zachary (18283)	'Zachary (18283)'@en	person
2004-07-10T19:17:36.790	'2004-07-10T19:17:36.790'@en	literal
0.499	'0.499'@en	literal
trade 3016814	'trade 3016814'@en	transaction
Ashton (18285)	'Ashton (18285)'@en	person
2004-07-10T22:07:46.340	'2004-07-10T22:07:46.340'@en	literal
0.508	'0.508'@en	literal
trade 3022215	'trade 3022215'@en	transaction
Jade (18017)	'Jade (18017)'@en	person
Emery (17661)	'Emery (17661)'@en	person
2004-07-14T10:34:27.963	'2004-07-14T10:34:27.963'@en	literal
0.49	'0.49'@en	literal
trade 3022230	'trade 3022230'@en	transaction
2004-07-14T10:36:30.503	'2004-07-14T10:36:30.503'@en	literal
trade 3028532	'trade 3028532'@en	transaction
Anastasia (18334)	'Anastasia (18334)'@en	person
Beau (18182)	'Beau (18182)'@en	person
2004-07-18T02:20:06.743	'2004-07-18T02:20:06.743'@en	literal
0.517	'0.517'@en	literal
11	'11'@en	literal
trade 3029624	'trade 3029624'@en	transaction
2004-07-18T19:14:29.680	'2004-07-18T19:14:29.680'@en	literal
0.516	'0.516'@en	literal
trade 3030513	'trade 3030513'@en	transaction
Ryleigh (18336)	'Ryleigh (18336)'@en	person
2004-07-19T10:34:28.843	'2004-07-19T10:34:28.843'@en	literal
0.511	'0.511'@en	literal
trade 3030847	'trade 3030847'@en	transaction
Roman (17474)	'Roman (17474)'@en	person
Itzel (7613)	'Itzel (7613)'@en	person
2004-07-19T14:16:05.967	'2004-07-19T14:16:05.967'@en	literal
0.496	'0.496'@en	literal
trade 3032321	'trade 3032321'@en	transaction
Alice (17460)	'Alice (17460)'@en	person
Juan (18305)	'Juan (18305)'@en	person
2004-07-20T11:46:31.690	'2004-07-20T11:46:31.690'@en	literal
76	'76'@en	literal
trade 3041773	'trade 3041773'@en	transaction
Alondra (4629)	'Alondra (4629)'@en	person
2004-07-26T16:18:27.800	'2004-07-26T16:18:27.800'@en	literal
0.498	'0.498'@en	literal
trade 3042984	'trade 3042984'@en	transaction
Kehlani (18359)	'Kehlani (18359)'@en	person
2004-07-27T10:00:24.173	'2004-07-27T10:00:24.173'@en	literal
trade 3044512	'trade 3044512'@en	transaction
John (16234)	'John (16234)'@en	person
2004-07-28T06:23:54.480	'2004-07-28T06:23:54.480'@en	literal
13	'13'@en	literal
trade 3046864	'trade 3046864'@en	transaction
Easton (17412)	'Easton (17412)'@en	person
Cameron (1948)	'Cameron (1948)'@en	person
2004-07-29T16:54:47.153	'2004-07-29T16:54:47.153'@en	literal
0.501	'0.501'@en	literal
25	'25'@en	literal
trade 3047943	'trade 3047943'@en	transaction
Camden (18355)	'Camden (18355)'@en	person
Aaliyah (17369)	'Aaliyah (17369)'@en	person
2004-07-30T06:49:50.347	'2004-07-30T06:49:50.347'@en	literal
trade 3048434	'trade 3048434'@en	transaction
Waylon (18124)	'Waylon (18124)'@en	person
2004-07-30T12:55:51.523	'2004-07-30T12:55:51.523'@en	literal
0.509	'0.509'@en	literal
trade 3049016	'trade 3049016'@en	transaction
Jonathan (17400)	'Jonathan (17400)'@en	person
2004-07-30T16:26:01.963	'2004-07-30T16:26:01.963'@en	literal
trade 3049162	'trade 3049162'@en	transaction
Hayden (18377)	'Hayden (18377)'@en	person
2004-07-30T16:38:45.120	'2004-07-30T16:38:45.120'@en	literal
0.52	'0.52'@en	literal
trade 3049228	'trade 3049228'@en	transaction
Naomi (17208)	'Naomi (17208)'@en	person
2004-07-30T16:45:35.640	'2004-07-30T16:45:35.640'@en	literal
0.522	'0.522'@en	literal
14	'14'@en	literal
trade 3050525	'trade 3050525'@en	transaction
Catalina (18381)	'Catalina (18381)'@en	person
2004-07-31T07:59:30.210	'2004-07-31T07:59:30.210'@en	literal
0.483	'0.483'@en	literal
36	'36'@en	literal
trade 3051162	'trade 3051162'@en	transaction
Vivian (18107)	'Vivian (18107)'@en	person
Blakely (18356)	'Blakely (18356)'@en	person
2004-07-31T18:09:21.040	'2004-07-31T18:09:21.040'@en	literal
0.482	'0.482'@en	literal
100	'100'@en	literal
trade 3053963	'trade 3053963'@en	transaction
Ryan (17264)	'Ryan (17264)'@en	person
2004-08-02T16:56:56.430	'2004-08-02T16:56:56.430'@en	literal
0.47	'0.47'@en	literal
trade 3056144	'trade 3056144'@en	transaction
Nola (6784)	'Nola (6784)'@en	person
2004-08-03T22:25:24.370	'2004-08-03T22:25:24.370'@en	literal
trade 3056188	'trade 3056188'@en	transaction
Abel (18386)	'Abel (18386)'@en	person
2004-08-03T22:25:54.450	'2004-08-03T22:25:54.450'@en	literal
trade 3056272	'trade 3056272'@en	transaction
2004-08-03T22:26:41.533	'2004-08-03T22:26:41.533'@en	literal
trade 3060634	'trade 3060634'@en	transaction
Amara (18299)	'Amara (18299)'@en	person
2004-08-06T09:51:23.817	'2004-08-06T09:51:23.817'@en	literal
trade 3060743	'trade 3060743'@en	transaction
Greyson (17547)	'Greyson (17547)'@en	person
2004-08-06T10:35:06.597	'2004-08-06T10:35:06.597'@en	literal
trade 3060747	'trade 3060747'@en	transaction
Brody (18382)	'Brody (18382)'@en	person
2004-08-06T10:40:36.360	'2004-08-06T10:40:36.360'@en	literal
trade 3061135	'trade 3061135'@en	transaction
2004-08-06T14:34:19.380	'2004-08-06T14:34:19.380'@en	literal
0.484	'0.484'@en	literal
trade 3062396	'trade 3062396'@en	transaction
Juliana (18401)	'Juliana (18401)'@en	person
2004-08-07T09:39:44.123	'2004-08-07T09:39:44.123'@en	literal
0.528	'0.528'@en	literal
trade 3064967	'trade 3064967'@en	transaction
Brynlee (18407)	'Brynlee (18407)'@en	person
Ryland (4634)	'Ryland (4634)'@en	person
2004-08-09T01:22:59.163	'2004-08-09T01:22:59.163'@en	literal
trade 3065485	'trade 3065485'@en	transaction
King (18364)	'King (18364)'@en	person
2004-08-09T09:50:40.220	'2004-08-09T09:50:40.220'@en	literal
0.513	'0.513'@en	literal
trade 3068578	'trade 3068578'@en	transaction
2004-08-10T20:55:53.883	'2004-08-10T20:55:53.883'@en	literal
trade 3069779	'trade 3069779'@en	transaction
Cora (1765)	'Cora (1765)'@en	person
2004-08-11T14:06:15.937	'2004-08-11T14:06:15.937'@en	literal
trade 3071216	'trade 3071216'@en	transaction
Jesse (18431)	'Jesse (18431)'@en	person
Taylor (18340)	'Taylor (18340)'@en	person
2004-08-12T10:25:51.407	'2004-08-12T10:25:51.407'@en	literal
45	'45'@en	literal
trade 3071272	'trade 3071272'@en	transaction
Aziel (251)	'Aziel (251)'@en	person
2004-08-12T10:26:50.460	'2004-08-12T10:26:50.460'@en	literal
trade 3071472	'trade 3071472'@en	transaction
Journee (18432)	'Journee (18432)'@en	person
2004-08-12T11:10:32.040	'2004-08-12T11:10:32.040'@en	literal
0.5	'0.5'@en	literal
trade 3071484	'trade 3071484'@en	transaction
2004-08-12T11:10:40.090	'2004-08-12T11:10:40.090'@en	literal
trade 3071543	'trade 3071543'@en	transaction
2004-08-12T11:15:02.940	'2004-08-12T11:15:02.940'@en	literal
trade 3071661	'trade 3071661'@en	transaction
Hope (18434)	'Hope (18434)'@en	person
2004-08-12T12:01:53.390	'2004-08-12T12:01:53.390'@en	literal
trade 3071714	'trade 3071714'@en	transaction
Zayden (18394)	'Zayden (18394)'@en	person
2004-08-12T12:41:43.263	'2004-08-12T12:41:43.263'@en	literal
0.503	'0.503'@en	literal
trade 3071935	'trade 3071935'@en	transaction
2004-08-12T15:17:36.070	'2004-08-12T15:17:36.070'@en	literal
trade 3071947	'trade 3071947'@en	transaction
2004-08-12T15:17:42.213	'2004-08-12T15:17:42.213'@en	literal
trade 3073259	'trade 3073259'@en	transaction
Anthony (16685)	'Anthony (16685)'@en	person
2004-08-13T11:25:18.673	'2004-08-13T11:25:18.673'@en	literal
0.502	'0.502'@en	literal
trade 3073761	'trade 3073761'@en	transaction
Blake (18446)	'Blake (18446)'@en	person
2004-08-13T19:01:20.840	'2004-08-13T19:01:20.840'@en	literal
trade 3073801	'trade 3073801'@en	transaction
2004-08-13T19:09:44.040	'2004-08-13T19:09:44.040'@en	literal
0.489	'0.489'@en	literal
trade 3076072	'trade 3076072'@en	transaction
Samara (1884)	'Samara (1884)'@en	person
2004-08-15T13:56:22.213	'2004-08-15T13:56:22.213'@en	literal
trade 3076765	'trade 3076765'@en	transaction
Leila (18436)	'Leila (18436)'@en	person
Lily (16601)	'Lily (16601)'@en	person
2004-08-16T08:39:42.853	'2004-08-16T08:39:42.853'@en	literal
0.507	'0.507'@en	literal
20	'20'@en	literal
trade 3077336	'trade 3077336'@en	transaction
Vanessa (18443)	'Vanessa (18443)'@en	person
2004-08-17T09:12:47.633	'2004-08-17T09:12:47.633'@en	literal
trade 3078035	'trade 3078035'@en	transaction
Miguel (18400)	'Miguel (18400)'@en	person
2004-08-18T08:44:01.030	'2004-08-18T08:44:01.030'@en	literal
trade 3078388	'trade 3078388'@en	transaction
Ariel (18426)	'Ariel (18426)'@en	person
Elle (1891)	'Elle (1891)'@en	person
2004-08-18T14:08:55.523	'2004-08-18T14:08:55.523'@en	literal
trade 3078392	'trade 3078392'@en	transaction
2004-08-18T14:30:49.337	'2004-08-18T14:30:49.337'@en	literal
trade 3079125	'trade 3079125'@en	transaction
2004-08-18T23:34:29.463	'2004-08-18T23:34:29.463'@en	literal
trade 3079227	'trade 3079227'@en	transaction
Kyrie (18475)	'Kyrie (18475)'@en	person
2004-08-18T23:41:40.607	'2004-08-18T23:41:40.607'@en	literal
trade 3079906	'trade 3079906'@en	transaction
Finn (18379)	'Finn (18379)'@en	person
2004-08-19T10:42:10.653	'2004-08-19T10:42:10.653'@en	literal
trade 3080024	'trade 3080024'@en	transaction
Danna (1945)	'Danna (1945)'@en	person
Amari (18461)	'Amari (18461)'@en	person
2004-08-19T11:09:54.683	'2004-08-19T11:09:54.683'@en	literal
0.506	'0.506'@en	literal
40	'40'@en	literal
trade 3080946	'trade 3080946'@en	transaction
Arlo (18468)	'Arlo (18468)'@en	person
2004-08-20T09:12:49.857	'2004-08-20T09:12:49.857'@en	literal
0.494	'0.494'@en	literal
trade 3081000	'trade 3081000'@en	transaction
Ada (18393)	'Ada (18393)'@en	person
Gabriel (16617)	'Gabriel (16617)'@en	person
2004-08-20T09:16:03.063	'2004-08-20T09:16:03.063'@en	literal
trade 3081641	'trade 3081641'@en	transaction
2004-08-20T18:04:49.090	'2004-08-20T18:04:49.090'@en	literal
trade 3081649	'trade 3081649'@en	transaction
Lila (18485)	'Lila (18485)'@en	person
2004-08-20T18:36:49.033	'2004-08-20T18:36:49.033'@en	literal
trade 3081876	'trade 3081876'@en	transaction
Marcus (18486)	'Marcus (18486)'@en	person
2004-08-21T07:33:23.500	'2004-08-21T07:33:23.500'@en	literal
0.497	'0.497'@en	literal
46	'46'@en	literal
trade 3082376	'trade 3082376'@en	transaction
Brantley (18501)	'Brantley (18501)'@en	person
Sage (18476)	'Sage (18476)'@en	person
2004-08-23T11:27:34.643	'2004-08-23T11:27:34.643'@en	literal
trade 3082891	'trade 3082891'@en	transaction
Adelyn (18510)	'Adelyn (18510)'@en	person
2004-08-24T12:48:53.270	'2004-08-24T12:48:53.270'@en	literal
trade 3083207	'trade 3083207'@en	transaction
Dylan (16748)	'Dylan (16748)'@en	person
Kayla (18462)	'Kayla (18462)'@en	person
2004-08-24T22:39:01.577	'2004-08-24T22:39:01.577'@en	literal
trade 3083276	'trade 3083276'@en	transaction
Diana (18532)	'Diana (18532)'@en	person
2004-08-24T23:45:27.830	'2004-08-24T23:45:27.830'@en	literal
trade 3084081	'trade 3084081'@en	transaction
2004-08-25T17:06:27.273	'2004-08-25T17:06:27.273'@en	literal
trade 3084267	'trade 3084267'@en	transaction
Ellie (16384)	'Ellie (16384)'@en	person
2004-08-26T05:04:10.980	'2004-08-26T05:04:10.980'@en	literal
trade 3084666	'trade 3084666'@en	transaction
Atlas (18402)	'Atlas (18402)'@en	person
2004-08-26T15:56:43.747	'2004-08-26T15:56:43.747'@en	literal
0.472	'0.472'@en	literal
trade 3084942	'trade 3084942'@en	transaction
Adalyn (18292)	'Adalyn (18292)'@en	person
2004-08-26T18:44:17.817	'2004-08-26T18:44:17.817'@en	literal
0.534	'0.534'@en	literal
trade 3085102	'trade 3085102'@en	transaction
Mark (18507)	'Mark (18507)'@en	person
2004-08-27T08:18:46.840	'2004-08-27T08:18:46.840'@en	literal
0.538	'0.538'@en	literal
trade 3085164	'trade 3085164'@en	transaction
River (18397)	'River (18397)'@en	person
2004-08-27T12:34:38.630	'2004-08-27T12:34:38.630'@en	literal
51	'51'@en	literal
trade 3085223	'trade 3085223'@en	transaction
Eric (18421)	'Eric (18421)'@en	person
2004-08-27T14:01:13.237	'2004-08-27T14:01:13.237'@en	literal
trade 3085276	'trade 3085276'@en	transaction
2004-08-27T15:11:47.010	'2004-08-27T15:11:47.010'@en	literal
0.468	'0.468'@en	literal
trade 3085669	'trade 3085669'@en	transaction
Amirah (6262)	'Amirah (6262)'@en	person
2004-08-28T09:45:35.590	'2004-08-28T09:45:35.590'@en	literal
0.543	'0.543'@en	literal
trade 3085751	'trade 3085751'@en	transaction
2004-08-28T09:51:13.837	'2004-08-28T09:51:13.837'@en	literal
trade 3085885	'trade 3085885'@en	transaction
2004-08-28T09:58:32.480	'2004-08-28T09:58:32.480'@en	literal
trade 3085902	'trade 3085902'@en	transaction
Imani (5226)	'Imani (5226)'@en	person
2004-08-28T10:07:44.137	'2004-08-28T10:07:44.137'@en	literal
trade 3085946	'trade 3085946'@en	transaction
2004-08-28T11:01:11.043	'2004-08-28T11:01:11.043'@en	literal
0.547	'0.547'@en	literal
trade 3085947	'trade 3085947'@en	transaction
2004-08-28T11:01:33.077	'2004-08-28T11:01:33.077'@en	literal
trade 3085951	'trade 3085951'@en	transaction
Blake (18467)	'Blake (18467)'@en	person
2004-08-28T11:02:43.910	'2004-08-28T11:02:43.910'@en	literal
trade 3086060	'trade 3086060'@en	transaction
2004-08-28T11:10:06.743	'2004-08-28T11:10:06.743'@en	literal
0.552	'0.552'@en	literal
trade 3086742	'trade 3086742'@en	transaction
Ana (18534)	'Ana (18534)'@en	person
Londyn (18343)	'Londyn (18343)'@en	person
2004-08-29T13:00:28.023	'2004-08-29T13:00:28.023'@en	literal
trade 3087112	'trade 3087112'@en	transaction
Christopher (16914)	'Christopher (16914)'@en	person
2004-08-30T08:52:34.587	'2004-08-30T08:52:34.587'@en	literal
trade 3087136	'trade 3087136'@en	transaction
Morgan (18411)	'Morgan (18411)'@en	person
2004-08-30T10:10:13.003	'2004-08-30T10:10:13.003'@en	literal
0.452	'0.452'@en	literal
6	'6'@en	literal
trade 3087144	'trade 3087144'@en	transaction
Miranda (6237)	'Miranda (6237)'@en	person
Chandler (7814)	'Chandler (7814)'@en	person
2004-08-30T10:15:24.593	'2004-08-30T10:15:24.593'@en	literal
trade 3087460	'trade 3087460'@en	transaction
Stetson (1934)	'Stetson (1934)'@en	person
2004-08-30T15:53:22.520	'2004-08-30T15:53:22.520'@en	literal
90	'90'@en	literal
trade 3087943	'trade 3087943'@en	transaction
Richard (18442)	'Richard (18442)'@en	person
2004-08-31T12:24:02.677	'2004-08-31T12:24:02.677'@en	literal
19	'19'@en	literal
trade 3088439	'trade 3088439'@en	transaction
2004-08-31T23:55:42.457	'2004-08-31T23:55:42.457'@en	literal
0.515	'0.515'@en	literal
trade 3088636	'trade 3088636'@en	transaction
Cameron (17363)	'Cameron (17363)'@en	person
2004-09-01T13:17:22.540	'2004-09-01T13:17:22.540'@en	literal
0.463	'0.463'@en	literal
trade 3089493	'trade 3089493'@en	transaction
Dakota (18568)	'Dakota (18568)'@en	person
2004-09-02T08:11:12.603	'2004-09-02T08:11:12.603'@en	literal
trade 3089498	'trade 3089498'@en	transaction
London (18416)	'London (18416)'@en	person
2004-09-02T08:59:46.160	'2004-09-02T08:59:46.160'@en	literal
0.527	'0.527'@en	literal
trade 3089640	'trade 3089640'@en	transaction
2004-09-02T11:52:23.313	'2004-09-02T11:52:23.313'@en	literal
29	'29'@en	literal
trade 3089658	'trade 3089658'@en	transaction
2004-09-02T11:59:57.107	'2004-09-02T11:59:57.107'@en	literal
0.531	'0.531'@en	literal
trade 3089906	'trade 3089906'@en	transaction
Alivia (18551)	'Alivia (18551)'@en	person
2004-09-02T15:57:26.757	'2004-09-02T15:57:26.757'@en	literal
trade 3090100	'trade 3090100'@en	transaction
Jane (18579)	'Jane (18579)'@en	person
2004-09-02T17:16:28.837	'2004-09-02T17:16:28.837'@en	literal
0.465	'0.465'@en	literal
trade 3090366	'trade 3090366'@en	transaction
2004-09-02T22:30:31.200	'2004-09-02T22:30:31.200'@en	literal
trade 3090666	'trade 3090666'@en	transaction
Dawson (18419)	'Dawson (18419)'@en	person
2004-09-03T08:51:56.620	'2004-09-03T08:51:56.620'@en	literal
trade 3090688	'trade 3090688'@en	transaction
River (18267)	'River (18267)'@en	person
Alyssa (18424)	'Alyssa (18424)'@en	person
2004-09-03T09:52:00.047	'2004-09-03T09:52:00.047'@en	literal
0.467	'0.467'@en	literal
trade 3090871	'trade 3090871'@en	transaction
Paul (18548)	'Paul (18548)'@en	person
2004-09-03T13:02:06.923	'2004-09-03T13:02:06.923'@en	literal
0.48	'0.48'@en	literal
trade 3091311	'trade 3091311'@en	transaction
Harmony (18374)	'Harmony (18374)'@en	person
2004-09-03T23:02:26.477	'2004-09-03T23:02:26.477'@en	literal
trade 3091373	'trade 3091373'@en	transaction
Alexander (13574)	'Alexander (13574)'@en	person
2004-09-04T08:56:06.623	'2004-09-04T08:56:06.623'@en	literal
trade 3091581	'trade 3091581'@en	transaction
2004-09-04T15:47:08.573	'2004-09-04T15:47:08.573'@en	literal
30	'30'@en	literal
trade 3091772	'trade 3091772'@en	transaction
Emberly (6977)	'Emberly (6977)'@en	person
2004-09-05T00:12:55.143	'2004-09-05T00:12:55.143'@en	literal
0.447	'0.447'@en	literal
trade 3091871	'trade 3091871'@en	transaction
Margot (18506)	'Margot (18506)'@en	person
2004-09-05T11:47:00.747	'2004-09-05T11:47:00.747'@en	literal
trade 3091955	'trade 3091955'@en	transaction
2004-09-05T14:30:04.530	'2004-09-05T14:30:04.530'@en	literal
trade 3092145	'trade 3092145'@en	transaction
Khloe (18338)	'Khloe (18338)'@en	person
2004-09-05T19:33:18.503	'2004-09-05T19:33:18.503'@en	literal
0.433	'0.433'@en	literal
trade 3092255	'trade 3092255'@en	transaction
Nicolas (18429)	'Nicolas (18429)'@en	person
2004-09-06T03:27:34.060	'2004-09-06T03:27:34.060'@en	literal
0.546	'0.546'@en	literal
trade 3092607	'trade 3092607'@en	transaction
Rosalie (18422)	'Rosalie (18422)'@en	person
2004-09-06T20:48:08.137	'2004-09-06T20:48:08.137'@en	literal
0.557	'0.557'@en	literal
122	'122'@en	literal
trade 3093302	'trade 3093302'@en	transaction
Mckenzie (18611)	'Mckenzie (18611)'@en	person
2004-09-07T16:23:22.980	'2004-09-07T16:23:22.980'@en	literal
trade 3093633	'trade 3093633'@en	transaction
Emely (5187)	'Emely (5187)'@en	person
2004-09-07T22:23:28.810	'2004-09-07T22:23:28.810'@en	literal
trade 3093651	'trade 3093651'@en	transaction
2004-09-07T22:26:43.390	'2004-09-07T22:26:43.390'@en	literal
0.561	'0.561'@en	literal
trade 3093847	'trade 3093847'@en	transaction
Milani (18635)	'Milani (18635)'@en	person
2004-09-08T07:23:33.603	'2004-09-08T07:23:33.603'@en	literal
0.56	'0.56'@en	literal
trade 3093872	'trade 3093872'@en	transaction
Zion (18302)	'Zion (18302)'@en	person
2004-09-08T08:06:11.633	'2004-09-08T08:06:11.633'@en	literal
trade 3094050	'trade 3094050'@en	transaction
Kash (18554)	'Kash (18554)'@en	person
2004-09-08T10:03:18.063	'2004-09-08T10:03:18.063'@en	literal
63	'63'@en	literal
trade 3094210	'trade 3094210'@en	transaction
Ronan (18587)	'Ronan (18587)'@en	person
Oakley (18617)	'Oakley (18617)'@en	person
2004-09-08T11:49:25.810	'2004-09-08T11:49:25.810'@en	literal
trade 3094858	'trade 3094858'@en	transaction
2004-09-09T09:07:44.340	'2004-09-09T09:07:44.340'@en	literal
trade 3094887	'trade 3094887'@en	transaction
Yusuf (787)	'Yusuf (787)'@en	person
2004-09-09T10:38:42.027	'2004-09-09T10:38:42.027'@en	literal
0.458	'0.458'@en	literal
