node1	label	node2
trade 2988503	buyer	Maria (18183)
trade 2988503	seller	Reagan (18206)
trade 2988503	time	2004-06-01T15:29:21.130
trade 2988503	asset	REP04
trade 2988503	price	0.51
trade 2988503	quantity	5
trade 2988609	buyer	Sawyer (18209)
trade 2988609	seller	Damian (18185)
trade 2988609	time	2004-06-01T17:17:25.603
trade 2988609	asset	REP04
trade 2988609	price	0.55
trade 2988609	quantity	7
trade 2988683	buyer	Jada (6268)
trade 2988683	seller	Kendra (6314)
trade 2988683	time	2004-06-01T17:19:23.960
trade 2988683	asset	DEM04
trade 2988683	price	0.445
trade 2988683	quantity	2
trade 2989169	buyer	Armani (1888)
trade 2989169	seller	Carter (4136)
trade 2989169	time	2004-06-02T08:09:48.577
trade 2989169	asset	DEM04
trade 2989169	price	0.45
trade 2989169	quantity	1
trade 2989763	buyer	Ryder (18178)
trade 2989763	seller	Carter (4136)
trade 2989763	time	2004-06-02T11:10:15.157
trade 2989763	asset	DEM04
trade 2989763	price	0.45
trade 2989763	quantity	1
trade 2989870	buyer	Ryder (18178)
trade 2989870	seller	Carter (4136)
trade 2989870	time	2004-06-02T14:06:17.833
trade 2989870	asset	DEM04
trade 2989870	price	0.45
trade 2989870	quantity	1
trade 2990229	buyer	Maria (18183)
trade 2990229	seller	Mila (1535)
trade 2990229	time	2004-06-03T08:22:31.053
trade 2990229	asset	REP04
trade 2990229	price	0.545
trade 2990229	quantity	8
trade 2991689	buyer	Zoe (16742)
trade 2991689	seller	Sophia (1277)
trade 2991689	time	2004-06-08T12:21:52.973
trade 2991689	asset	DEM04
trade 2991689	price	0.453
trade 2991689	quantity	7
trade 2992248	buyer	James (1278)
trade 2992248	seller	Lincoln (16628)
trade 2992248	time	2004-06-10T10:18:50.177
trade 2992248	asset	DEM04
trade 2992248	price	0.445
trade 2992248	quantity	5
trade 2992481	buyer	Rowen (6188)
trade 2992481	seller	Arya (18201)
trade 2992481	time	2004-06-10T18:23:39.737
trade 2992481	asset	DEM04
trade 2992481	price	0.451
trade 2992481	quantity	2
trade 2992488	buyer	Sophia (1277)
trade 2992488	seller	Arya (18201)
trade 2992488	time	2004-06-10T18:23:57.050
trade 2992488	asset	REP04
trade 2992488	price	0.562
trade 2992488	quantity	2
trade 2992695	buyer	Adelina (6056)
trade 2992695	seller	Mila (1535)
trade 2992695	time	2004-06-11T11:50:09.127
trade 2992695	asset	DEM04
trade 2992695	price	0.566
trade 2992695	quantity	2
trade 2992708	buyer	Maximilian (207)
trade 2992708	seller	Lorelai (5366)
trade 2992708	time	2004-06-11T11:51:03.850
trade 2992708	asset	REP04
trade 2992708	price	0.53
trade 2992708	quantity	15
trade 2992867	buyer	Arya (18201)
trade 2992867	seller	Zaire (5180)
trade 2992867	time	2004-06-11T14:36:29.990
trade 2992867	asset	REP04
trade 2992867	price	0.495
trade 2992867	quantity	2
trade 2992888	buyer	Brayden (18191)
