node1	label	node2	ratio	color
Addilyn	link	Addilyn x Adriana	0.28807339449541286	#888888
Addilyn x Adriana	link	Adriana	0.28807339449541286	#888888
Addilyn	link	Addilyn x Landon	0.1288120163859809	#888888
Addilyn x Landon	link	Landon	0.1288120163859809	#888888
Adelyn	link	Adelyn x Landon	0.45775301764159704	#888888
Adelyn x Landon	link	Landon	0.45775301764159704	#888888
Adelyn	link	Adelyn x Parker M	0.011406844106463879	#888888
Adelyn x Parker M	link	Parker M	0.011406844106463879	#888888
Adriana	link	Adriana x Bruce	0.10526315789473684	#888888
Adriana x Bruce	link	Bruce	0.10526315789473684	#888888
Adriana	link	Adriana x Dominick	0.0125	#888888
Adriana x Dominick	link	Dominick	0.0125	#888888
Adriana	link	Adriana x Landon	0.3682502213042195	#888888
Adriana x Landon	link	Landon	0.3682502213042195	#888888
Adriana	link	Adriana x Mila	0.11645101663585952	#888888
Adriana x Mila	link	Mila	0.11645101663585952	#888888
Adriana	link	Adriana x Olivia	0.48883374689826303	#888888
Adriana x Olivia	link	Olivia	0.48883374689826303	#888888
Alexis F	link	Alexis F x Olivia	0.20240480961923848	#888888
Alexis F x Olivia	link	Olivia	0.20240480961923848	#888888
Alivia	link	Alivia x Landon	0.45666235446313064	#888888
Alivia x Landon	link	Landon	0.45666235446313064	#888888
Allie	link	Allie x Landon	0.44522144522144524	#888888
Allie x Landon	link	Landon	0.44522144522144524	#888888
Andre	link	Andre x Landon	0.09315068493150686	#888888
Andre x Landon	link	Landon	0.09315068493150686	#888888
Anna	link	Anna x Landon	0.2988165680473373	#888888
Anna x Landon	link	Landon	0.2988165680473373	#888888
Anthony	link	Anthony x Landon	0.20118343195266272	#888888
Anthony x Landon	link	Landon	0.20118343195266272	#888888
Antonio	link	Antonio x Landon	0.436950146627566	#888888
Antonio x Landon	link	Landon	0.436950146627566	#888888
Ariel M	link	Ariel M x Cesar	0.30752688172043013	#888888
Ariel M x Cesar	link	Cesar	0.30752688172043013	#888888
Ariel M	link	Ariel M x Landon	0.3343701399688958	#888888
Ariel M x Landon	link	Landon	0.3343701399688958	#888888
Ariel M	link	Ariel M x Wade	0.19318181818181818	#888888
Ariel M x Wade	link	Wade	0.19318181818181818	#888888
Arlo	link	Arlo x Landon	0.49746707193515705	#888888
Arlo x Landon	link	Landon	0.49746707193515705	#888888
Aspen	link	Aspen x Mila	0.10675381263616558	#888888
Aspen x Mila	link	Mila	0.10675381263616558	#888888
Athena	link	Athena x Peyton	0.44813278008298757	#888888
Athena x Peyton	link	Peyton	0.44813278008298757	#888888
Blakely	link	Blakely x Owen	0.49878345498783455	#888888
Blakely x Owen	link	Owen	0.49878345498783455	#888888
Braelynn	link	Braelynn x Mila	0.011990407673860911	#888888
Braelynn x Mila	link	Mila	0.011990407673860911	#888888
Brian	link	Brian x Mila	0.35909090909090907	#888888
Brian x Mila	link	Mila	0.35909090909090907	#888888
Bruce	link	Bruce x Juan	0.0031446540880503146	#888888
Bruce x Juan	link	Juan	0.0031446540880503146	#888888
Bruce	link	Bruce x Landon	0.1202223766504517	#888888
Bruce x Landon	link	Landon	0.1202223766504517	#888888
Bruce	link	Bruce x Mila	0.20963855421686747	#888888
Bruce x Mila	link	Mila	0.20963855421686747	#888888
Bruce	link	Bruce x Peyton	0.15221579961464354	#888888
Bruce x Peyton	link	Peyton	0.15221579961464354	#888888
Cairo	link	Cairo x Landon	0.3876651982378855	#888888
Cairo x Landon	link	Landon	0.3876651982378855	#888888
Case	link	Case x Landon	0.3858632676709154	#888888
Case x Landon	link	Landon	0.3858632676709154	#888888
Corey	link	Corey x Elle	0.20920502092050208	#888888
Corey x Elle	link	Elle	0.20920502092050208	#888888
Corey	link	Corey x Landon	0.019342359767891684	#888888
Corey x Landon	link	Landon	0.019342359767891684	#888888
Corey	link	Corey x Peyton	0.20964360587002095	#888888
Corey x Peyton	link	Peyton	0.20964360587002095	#888888
Damon	link	Damon x Landon	0.4268142681426814	#888888
Damon x Landon	link	Landon	0.4268142681426814	#888888
Daniella	link	Daniella x Jonathan	0.39675174013921116	#888888
Daniella x Jonathan	link	Jonathan	0.39675174013921116	#888888
Daniella	link	Daniella x Landon	0.12941176470588237	#888888
Daniella x Landon	link	Landon	0.12941176470588237	#888888
