id	label	type	quantity	cash	net	ratio	color	size	tooltip
Olivia	'Olivia'@en	org	63523.0	2339.8719999999967	-14025.0	0.22078617193772335	#1d52c4	5.7058046795493516	Person: Olivia</br>Quantity: 63523.0</br>Cash: 2339.8719999999967
Waylon	'Waylon'@en	org	3331.0	-520.9510000000004	931.0	0.279495646952867	#1d52c4	1.9196194088587528	Person: Waylon</br>Quantity: 3331.0</br>Cash: -520.9510000000004
Sean	'Sean'@en	org	12378.0	-494.95599999999513	476.0	0.03845532396186783	#1d52c4	3.0117093697592456	Person: Sean</br>Quantity: 12378.0</br>Cash: -494.95599999999513
Destiny	'Destiny'@en	org	5076.0	101.78500000000008	-12.0	0.002364066193853428	#1d52c4	2.2096143632012657	Person: Destiny</br>Quantity: 5076.0</br>Cash: 101.78500000000008
Quentin	'Quentin'@en	org	3235.0	33.50499999999988	-411.0	0.12704791344667696	#1d52c4	1.9009607778026116	Person: Quentin</br>Quantity: 3235.0</br>Cash: 33.50499999999988
Damon	'Damon'@en	org	2013.0	-41.82699999999991	-11.0	0.00546448087431694	#1d52c4	1.6158948474563029	Person: Damon</br>Quantity: 2013.0</br>Cash: -41.82699999999991
Wade	'Wade'@en	org	13172.0	1273.3199999999983	-3518.0	0.267081688430003	#1d52c4	3.0803679824957433	Person: Wade</br>Quantity: 13172.0</br>Cash: 1273.3199999999983
Andre	'Andre'@en	org	9324.0	1327.592000000001	-4520.0	0.4847704847704848	#1d52c4	2.722300434782241	Person: Andre</br>Quantity: 9324.0</br>Cash: 1327.592000000001
Elle	'Elle'@en	org	31110.0	6727.822000000024	-19792.0	0.6361941497910639	#1d52c4	4.267304686171817	Person: Elle</br>Quantity: 31110.0</br>Cash: 6727.822000000024
Aspen	'Aspen'@en	org	6174.0	-861.2649999999996	3348.0	0.5422740524781341	#1d52c4	2.360769434148936	Person: Aspen</br>Quantity: 6174.0</br>Cash: -861.2649999999996
Nylah	'Nylah'@en	org	4058.0	296.6690000000001	116.0	0.02858551010349926	#1d52c4	2.050213458026885	Person: Nylah</br>Quantity: 4058.0</br>Cash: 296.6690000000001
Brian	'Brian'@en	org	2433.0	419.19200000000006	-1237.0	0.508425811755035	#1d52c4	1.726596982116978	Person: Brian</br>Quantity: 2433.0</br>Cash: 419.19200000000006
Jaiden	'Jaiden'@en	org	5347.0	-484.42999999999995	2851.0	0.5331961847765102	#1d52c4	2.2486232703988236	Person: Jaiden</br>Quantity: 5347.0</br>Cash: -484.42999999999995
Jared	'Jared'@en	org	4246.0	1141.8660000000007	-6.0	0.001413094677343382	#1d52c4	2.0814212769279132	Person: Jared</br>Quantity: 4246.0</br>Cash: 1141.8660000000007
Ryan M	'Ryan M'@en	org	19665.0	-1434.173	7109.0	0.36150521230612764	#1d52c4	3.573999714336087	Person: Ryan M</br>Quantity: 19665.0</br>Cash: -1434.173
Ismael	'Ismael'@en	org	4058.0	-92.82999999999981	1232.0	0.3035978314440611	#1d52c4	2.050213458026885	Person: Ismael</br>Quantity: 4058.0</br>Cash: -92.82999999999981
Jacqueline	'Jacqueline'@en	org	3358.0	-359.2439999999998	434.0	0.1292435973793925	#1d52c4	1.9247993234158023	Person: Jacqueline</br>Quantity: 3358.0</br>Cash: -359.2439999999998
